type,number,street,cty,function,country,lat,long
Gewone dwergvleermuis,45,Koningin Wilhelminaweg 441,Groenekan,dieren jagen totaan Fort Blauwkapel,Netherlands,52.1248442,5.1441709
Gewone dwergvleermuis,35,Ivoordreef 113,Utrecht (Overvecht),gebouw in 2010 gesloopt,Netherlands,52.1185948,5.1105607
Gewone dwergvleermuis,15,Paranadreef 2,,,Netherlands,52.1176877,5.1075639
Gewone dwergvleermuis,40,Amazonedreef 72,Utrecht (Overvecht),eenmalige invasie,Netherlands,52.1175908,5.1033412
Gewone dwergvleermuis,15,H.F. van Riellaan 5A,Utrecht Tuindorp,winter+ voorjaarsverblijfplaats,Netherlands,52.1047411,5.1276472
Gewone dwergvleermuis,15,Vechtplantsoen 148,Utrecht (Zuilen),zomerloctaie 2011,Netherlands,52.1182161,5.0838652
Gewone dwergvleermuis,35,Houtsnijderslaan  1,Utrecht (de Meern),zomerlocatie,Netherlands,52.0837349,5.0294353
Gewone dwergvleermuis,80,Wolweverslaan 39,Utrecht (de Meern),zomerlocatie,Netherlands,52.0819339,5.0271533
Gewone dwergvleermuis,80,Melkmeisjeslaan,Utrecht (de Meern),zomerlocatie,Netherlands,52.0772586,5.0271006
Gewone dwergvleermuis,35,Keerkring,Utrecht (de Meern),zomerlocatie,Netherlands,52.0869399,5.0294405
Gewone dwergvleermuis,85,Dorpsstraat 35,Utrecht (Vleuten),zomerlocatie,Netherlands,52.1063123,5.0115417
Gewone dwergvleermuis,5,Thematerweg 18,Utrecht (Vleuten),nazomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,15,brink 6a,Utrecht (Haarzuilens),niet meer na verbouwing,Netherlands,52.1208396,4.9985872
Gewone dwergvleermuis,15,Brink 3,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.120455,4.9976614
Gewone dwergvleermuis,35,Brink 2,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.1208506,4.9974648
Gewone dwergvleermuis,80,Ockhuizerweg 3,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.1214738,4.9984969
Gewone dwergvleermuis,50,Wethouder de Greeflaan 8a,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.1221187,4.9980371
Gewone dwergvleermuis,15,Brink 13,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.121246,4.9979112
Gewone dwergvleermuis,15,Kasteellaan 1,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.1200758,4.9841371
Gewone dwergvleermuis,3,Kasteellaan 1,Utrecht (Haarzuilens),ook winterverblijf >80 dieren,Netherlands,52.1200758,4.9841371
Laatvlieger,3,Alexandralaan,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.12318,5.00014
Laatvlieger,3,Kasteellaan 1,Utrecht (Haarzuilens),zomerlocatie,Netherlands,52.1200758,4.9841371
Gewone dwergvleermuizen?,35,Nedereindseweg 113,Ijsselstein,zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,80,Koningsweg 135,Utrecht (Rijsweerd),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,15,Burgemeester Ter Pelkwijklaan<a0>,Utrecht (Rijsweerd),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,5,Burgemeester Ter Pelkwijklaan<a0>,Utrecht (Rijsweerd),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,35,Impalastraat 49,Utrecht (Tolsteeg),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,5,Impalastraat 47,Utrecht (Tolsteeg),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,5,Impalastraat 9,Utrecht (Tolsteeg),zomerlocatie,Netherlands,NA,NA
Gewone dwergvleermuis,15,Heidelberglaan 8,,,Netherlands,52.0852978,5.1756637
Gewone dwergvleermuis,7,Padualaan (centrumgebouw noord),Utrecht (Uithof),jaarrond locatie,Netherlands,NA,NA
Gewone dwergvleermuis,2,Padualaan (Kruydtgebouw),Utrecht (Uithof),jaarrond locatie,Netherlands,NA,NA
Gewone dwergvleermuis,3,Leuvenlaan (Aardwetenschappen,Utrecht (Uithof),jaarrond locatie,Netherlands,NA,NA
Gewone dwergvleermuis,3,Yalelaan (diergeneeskunde hoogbouw),Utrecht (Uithof),jaarrond locatie,Netherlands,NA,NA
Gewone dwergvleermuis,8,Koningslaan 5,Utrecht (Nieuw Amelisweerd),voorjaars- najaarslocatie,Netherlands,NA,NA
Gewone grootoorvleermuis,1,Koningslaan 11a,Utrecht (oud Amelisweerd),na herbestemming niet meer aanwezig,Netherlands,NA,NA
Gewone dwergvleermuis,80,Marskramersbaan,Bunnik,zomerlocatie,Netherlands,52.0681553,5.1891692
Gewone dwergvleermuis,80,Voerliedenhoek,Bunnik,zomerlocatie,Netherlands,52.068874699999995,5.187684274792703
Gewone dwergvleermuis,3500,Moreelsepark 3,,,Netherlands,52.0874343,5.1155376
Laatvliegers,3,Achter Sint Pieter 180,Utrecht centrum,overwinteringsplek,Netherlands,NA,NA
Laatvliegers,1,Buurkerkhof 11,Utrecht centrum,overwinteringsplek,Netherlands,NA,NA
Laatvliegers,2,Jansdam 14,Utrecht centrum,Zomer+winterplek?,Netherlands,NA,NA
Laatvliegers,3,H.F. van Riellaan 5A,Utrecht tuindorp,Zomer+winterplek?,Netherlands,52.1047411,5.1276472
Gewone dwergvleermuis,3,Oudegracht 167,Utrecht centrum,winterlocatie?,Netherlands,NA,NA
Gewone dwergvleermuis,12,Mariahoek 14,Utrecht centrum,winterlocatie?,Netherlands,NA,NA
