"Subwijken";"% tevreden over inzameling groente-, fruit en tuinafval|2015";"% neutraal met inzameling groente-, fruit en tuinafval|2015";"% ontevreden over inzameling groente-, fruit en tuinafval|2015";"% tevreden over inzameling papierafval|2015";"% neutraal met inzameling papierafval|2015";"% ontevreden over inzameling papierafval|2015";"% tevreden over inzameling plastic afval|2015";"% neutraal met inzameling plastic afval|2015";"% ontevreden over inzameling plastic afval|2015";"% tevreden over inzameling glas|2015";"% neutraal met inzameling glas|2015";"% ontevreden over inzameling glas|2015";"% tevreden over inzameling kleding en schoenen|2015";"% neutraal met inzameling kleding en schoenen|2015";"% ontevreden over inzameling kleding en schoenen|2015";"% tevreden over inzameling restafval|2015";"% neutraal met inzameling restafval|2015";"% ontevreden over inzameling restafval|2015";"% tevreden over inzameling grofvuil huis-aan-huis op afspraak|2015";"% neutraal met inzameling grofvuil huis-aan-huis op afspraak|2015";"% ontevreden over inzameling grofvuil huis-aan-huis op afspraak|2015";"% tevreden over inzameling afval bij de afvalscheidingsstations|2015";"% neutraal met inzameling afval bij de afvalscheidingsstations|2015";"% ontevreden over inzameling afval bij de afvalscheidigsstations|2015"
"Oog in Al, Welgelegen";55;19;8;64;17;14;48;23;19;72;18;6;51;24;11;66;18;8;39;17;4;62;18;2
"Lombok, Leidseweg";32;23;14;40;21;28;42;21;21;61;18;14;31;22;22;63;18;13;46;16;6;58;15;7
"Nieuw Engeland, Schepenbrt";48;16;11;56;18;20;39;18;27;68;18;9;26;22;28;66;15;14;46;13;6;63;14;4
"Pijlsweerd";29;13;23;54;17;18;39;17;23;64;20;9;33;19;25;57;17;18;43;17;7;45;14;8
"Ondiep, 2e Daalsebrt";39;19;16;48;24;17;39;21;24;55;25;11;40;26;16;63;20;10;46;20;3;60;19;3
"Zuilen-west";48;19;14;55;19;16;44;19;22;70;15;8;58;22;7;76;13;5;48;16;6;70;11;3
"Zuilen-noord en -oost";39;17;17;44;19;19;39;20;19;54;21;13;44;25;11;58;17;16;48;18;5;58;18;3
"Taagdreef, Wolgadreef";38;21;18;58;21;14;51;22;19;59;23;11;42;30;14;52;26;15;46;26;8;51;20;8
"Zamenhofdreef, Neckardreef";38;20;16;60;14;14;49;20;16;64;19;9;42;29;9;48;25;15;42;24;15;45;24;9
"Vechtzoom, Klopvaart";60;15;9;68;13;11;63;15;14;64;17;12;52;25;10;54;21;16;52;25;8;53;22;7
"Zambesidreef, Tigrisdreef";34;22;19;48;25;16;40;28;20;56;23;13;44;29;15;50;25;17;53;25;10;39;28;8
"Votulast";45;19;13;55;20;18;50;20;18;63;19;11;57;22;10;62;22;11;55;15;5;59;14;6
"Tuindorp, Voordorp";71;6;7;68;12;13;44;17;27;74;14;7;57;23;5;83;9;4;58;14;5;60;12;5
"Wittevrouwen, Zeeheldenbrt";47;15;15;48;21;23;37;24;28;58;21;14;46;29;11;67;15;11;50;16;5;58;14;6
"Oudwijk, Buiten Wittevrouwen";42;17;13;52;21;20;39;19;28;62;20;13;49;30;12;69;13;14;52;14;6;52;13;7
"Abstede, Gansstraat";36;12;25;57;12;19;39;12;29;70;10;12;41;13;18;68;14;10;39;14;7;52;10;7
"Wilhelminapark, Rijnsweerd";49;11;21;58;18;15;45;17;28;64;18;11;36;25;20;66;18;9;43;15;4;45;16;5
"Binnenstad city- en winkelgeb";10;15;30;70;7;9;29;12;31;49;15;18;25;18;23;69;10;12;47;11;6;38;14;9
"Binnenstad woongebied";17;14;25;72;13;9;36;19;26;59;17;15;40;21;13;75;12;7;47;15;6;48;19;6
"Lunetten";70;13;8;82;8;7;76;10;9;80;13;5;59;21;7;71;11;14;50;13;5;82;6;2
"Oud Hoograven, Tolsteeg";59;12;11;62;16;15;51;18;19;67;17;9;55;18;8;73;11;10;43;14;6;65;11;5
"Nieuw Hoograven, Bokkenbrt";49;16;9;58;18;10;49;20;14;65;18;8;55;21;6;66;18;8;50;16;4;59;18;6
"Dichterswijk, Rivierenwijk";44;19;14;53;20;18;35;23;26;64;19;13;50;25;13;61;19;13;46;15;6;58;19;5
"Transwijk";31;15;27;68;14;6;40;15;25;54;14;20;41;20;16;64;17;8;46;15;3;47;13;3
"Kanaleneiland";36;27;14;53;26;11;45;28;14;59;26;8;47;25;11;54;25;15;48;25;5;49;23;5
"Terwijde, De Wetering";47;18;18;54;19;22;46;19;24;64;16;15;53;20;15;73;14;7;35;13;10;64;10;6
"Het Zand";50;15;24;55;21;16;38;24;25;52;23;16;50;24;12;67;12;14;32;17;7;62;15;7
"Leidsche Rijn Centrum e.o";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Parkwijk, Langerak";56;19;15;66;15;12;63;15;12;66;19;10;47;30;11;73;16;5;41;20;8;63;15;5
"Leidsche Rijn-zuid";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Vleuten, Haarzuilens";76;10;6;66;17;8;46;24;16;67;16;10;58;21;6;81;10;4;47;19;3;75;11;3
"Veldhuizen, Vleuterweide";58;20;12;57;19;15;35;22;28;54;18;20;49;30;11;71;14;9;36;13;5;83;8;4
"De Meern";82;9;4;48;20;21;34;24;24;55;18;20;58;26;6;79;14;1;55;14;1;84;6;1
"Rijnenburg";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
