Litter;Tags;Location (Lat/Long);Country;Date
4259467;;52.0984263/5.0859532;NL;Sat Sep 21 2019
4259454;;52.0984263/5.0859532;NL;Sat Sep 21 2019
4259425;lachgas;52.1007713/5.0867731;NL;Sat Sep 21 2019
4259407;lachgas;52.1007713/5.0867731;NL;Sat Sep 21 2019
4259368;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259348;plasticbag;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259327;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259306;knijpfruit;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259286;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259262;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259221;servet;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259200;plastic beker;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259173;pakje drinken;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259154;bierblikje;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259133;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259108;snoepverpakking;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259086;karton;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259064;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259043;weedzakje;52.0988337/5.0860054;NL;Sat Sep 21 2019
4259021;serviette;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258998;koekverpakking;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258980;serviette;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258959;plasticbag;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258936;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258913;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258889;plasticdeksel;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258873;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258852;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258836;piepschyim;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258814;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258775;plasticbag;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258744;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258722;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258704;serviette;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258681;mefaal;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258666;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258651;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258640;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258623;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258594;snoepverpakking;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258583;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258568;plasticdeksel;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258553;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258540;papier;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258527;plasticbag;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258518;plasticbottle;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258505;snoepverpakking;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258495;serviette;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258484;"lachgas; snoepverpakking";52.0988337/5.0860054;NL;Sat Sep 21 2019
4258475;plastic;52.0988337/5.0860054;NL;Sat Sep 21 2019
4258462;plasticbeker;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258454;blikje;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258442;plasticbottle;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258430;plasticbag;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258415;blikje;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258406;papier;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258396;plastic;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258386;plastic;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258376;plastic;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258365;plastic;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258353;papier;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258343;plastic;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258334;plasticbeker;52.0987792/5.0858467;NL;Sat Sep 21 2019
4258319;papier;52.0987792/5.0858467;NL;Sat Sep 21 2019
4248004;ballon;52.0987792/5.0858467;NL;Sat Sep 21 2019
4247993;deinkpakje;52.0987792/5.0858467;NL;Sat Sep 21 2019
4247985;papier;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247975;plastic;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247968;serviette;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247959;servette;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247952;metaal;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247945;flesglas;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247935;pizzadoos;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247926;snoepverpakking;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247921;serviette;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247912;papier;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247903;servette;52.0988236/5.0860285;NL;Sat Sep 21 2019
4247891;piepschuim;52.0988236/5.0860285;NL;Sat Sep 21 2019
