ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637316867,19/11/2021 10:14,52.07868667,5.124851667,20.43726964,1030.452989,61.28573003,536.29365,1410.666667,-12376,-12376,5,9,10
1637316869,19/11/2021 10:14,52.07868667,5.124851667,20.44957268,1030.454259,61.33595832,557.81545,1523.487179,-15456,-12376,5,9,9
1637316872,19/11/2021 10:14,52.07868333,5.124855,20.4338615,1030.458152,61.43590916,580.31465,1565.052632,-15456,-12376,5,8,8
1637316875,19/11/2021 10:14,52.07868333,5.124855,20.4195165,1030.451018,61.56387487,600.3057,1608.864865,-15456,-12376,6,8,8
1637316878,19/11/2021 10:14,52.07867833,5.124865,20.36356313,1030.45559,61.59627453,613.879,1608.864865,-20589.33333,-12376,6,8,7
1637316880,19/11/2021 10:14,52.07867833,5.124865,20.34952582,1030.454496,61.65116322,645.26795,1655.111111,-61656,-12376,6,8,8
1637316883,19/11/2021 10:14,52.07867167,5.124873333,20.37236828,1030.458338,61.5798304,649.89635,1655.111111,61544,-12376,6,8,8
1637316886,19/11/2021 10:14,52.07867167,5.124873333,20.39767667,1030.458597,61.47512033,659.2463,1655.111111,20477.33333,-12376,6,8,8
1637316888,19/11/2021 10:14,52.07867167,5.124873333,20.43047256,1030.458351,61.35850216,691.4092,1704,12264,-12376,7,7,7
1637316891,19/11/2021 10:14,52.079005,5.124671667,20.44714064,1030.4474,61.3361457,725.71135,1704,7644,-15456,6,8,8
